id,clubs,clubs-href,players,players-href,full name,position desc,date of birth,nation,image-src,weight,height,rating,age,Aerial Ability,Aggression,Command of Area,Composure,Concentration,Control,Corners,Creativity,Crossing,Determination,Distribution,Dribbling,Finishing,Flair,Free Kicks,Handling,Leadership,Long Passing,Long Shots,Marking,Movement,One on Ones,Pace,Passing,Penalties,Positioning,Saving Penalties,Shot Stopping,Stamina,Strength,Tackling,Volleying,Work Rate,D(R),D(L),D(C),GK,DM(R),DM(L),DM(C),M(R),M(L),M(C),AM(R),AM(L),AM(C),F(R),F(L),F(C),right,left
0,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"HAZARD, Eden",https://en.soccerwiki.org/player.php?pid=32924,Eden Michael Hazard,Winger,07-Jan-91,Belgium,https://cdn.soccerwiki.org/images/player/32924.jpg,74,173,95,25,0,0,0,0,0,10,0,4,0,0,0,1,0,8,0,0,0,0,2,0,9,0,7,6,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,0,1,1
1,Manchester City,https://en.soccerwiki.org/squad.php?clubid=47,"AGÜERO, Sergio",https://en.soccerwiki.org/player.php?pid=3513,Sergio Leonel Agüero Del Castillo,General Forward,02-Jun-88,Argentina,https://cdn.soccerwiki.org/images/player/3513.jpg,77,173,95,28,0,0,0,4,0,9,0,10,0,0,0,3,1,7,0,0,0,0,2,0,8,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0
2,Manchester United,https://en.soccerwiki.org/squad.php?clubid=49,"IBRAHIMOVIC, Zlatan",https://en.soccerwiki.org/player.php?pid=2386,Zlatan Ibrahimovi?,Target Man,03-Oct-81,Sweden,https://cdn.soccerwiki.org/images/player/2386.jpg,92,195,95,34,4,0,0,0,0,7,0,6,0,0,0,0,2,10,0,0,0,0,3,0,9,0,0,0,5,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1
3,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"COSTA, Diego",https://en.soccerwiki.org/player.php?pid=21674,Diego Da Silva Costa,Target Man,07-Oct-88,Spain,https://cdn.soccerwiki.org/images/player/21674.jpg,85,188,94,27,4,0,0,0,0,7,0,0,0,0,0,2,3,0,0,0,0,0,1,0,9,0,8,0,0,0,0,0,5,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
4,Arsenal,https://en.soccerwiki.org/squad.php?clubid=1,"SÁNCHEZ, Alexis",https://en.soccerwiki.org/player.php?pid=12927,Alexis Alejandro Sánchez,Deep-Lying Forward,19-Dec-88,Chile,https://cdn.soccerwiki.org/images/player/12927.jpg,73,170,94,27,0,0,0,0,0,8,1,0,0,4,0,6,0,9,0,0,0,0,0,0,7,0,10,0,0,2,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,0
5,Manchester City,https://en.soccerwiki.org/squad.php?clubid=47,"SILVA, David",https://en.soccerwiki.org/player.php?pid=2985,David Josué Jiménez Silva,Advanced Playmaker,08-Jan-86,Spain,https://cdn.soccerwiki.org/images/player/2985.jpg,67,170,94,30,0,0,0,3,0,9,7,10,2,0,0,1,0,5,6,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,1
6,Manchester United,https://en.soccerwiki.org/squad.php?clubid=49,"DE GEA, David",https://en.soccerwiki.org/player.php?pid=41819,David De Gea Quintana,Keeper,07-Nov-90,Spain,https://cdn.soccerwiki.org/images/player/41819.jpg,84,192,94,25,0,0,0,0,7,0,1,0,0,0,6,0,0,0,0,10,0,0,0,0,3,0,5,0,0,8,0,9,0,2,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Arsenal,https://en.soccerwiki.org/squad.php?clubid=1,"ÖZIL, Mesut",https://en.soccerwiki.org/player.php?pid=20377,Mesut Özil,Advanced Playmaker,15-Oct-88,Germany,https://cdn.soccerwiki.org/images/player/20377.jpg,76,183,94,27,0,0,0,4,0,9,7,10,3,0,0,2,0,6,0,0,0,1,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,1
8,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"FÀBREGAS, Cesc",https://en.soccerwiki.org/player.php?pid=19,Francesc Fàbregas Soler,Playmaker,04-May-87,Spain,https://cdn.soccerwiki.org/images/player/19.jpg,74,175,94,29,0,0,0,3,0,9,0,10,0,0,0,0,2,0,0,0,0,1,0,0,8,0,0,4,5,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0
9,Manchester City,https://en.soccerwiki.org/squad.php?clubid=47,"DE BRUYNE, Kevin",https://en.soccerwiki.org/player.php?pid=41105,Kevin De Bruyne,Advanced Playmaker,28-Jun-91,Belgium,https://cdn.soccerwiki.org/images/player/41105.jpg,76,181,93,25,0,0,0,0,0,7,8,5,4,0,0,0,0,0,0,0,0,0,6,0,0,0,9,10,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,1,0
10,Manchester City,https://en.soccerwiki.org/squad.php?clubid=47,"KOMPANY, Vincent",https://en.soccerwiki.org/player.php?pid=4223,Vincent Jean Mpoy Kompany,Stopper,10-Apr-86,Belgium,https://cdn.soccerwiki.org/images/player/4223.jpg,83,193,93,30,8,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,10,0,0,5,6,3,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"MATI?, Nemanja",https://en.soccerwiki.org/player.php?pid=27685,Nemanja Mati?,Ball-Winning Midfielder,01-Aug-88,Serbia,https://cdn.soccerwiki.org/images/player/27685.jpg,85,195,93,28,5,0,0,4,9,0,3,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,1,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1
12,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"COURTOIS, Thibaut",https://en.soccerwiki.org/player.php?pid=38848,Thibaut Nicolas Marc Courtois,Keeper,11-May-92,Belgium,https://cdn.soccerwiki.org/images/player/38848.jpg,91,199,93,24,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,3,0,0,1,0,9,4,0,0,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,Manchester United,https://en.soccerwiki.org/squad.php?clubid=49,"MATA, Juan",https://en.soccerwiki.org/player.php?pid=14228,Juan Manuel Mata García,Advanced Playmaker,28-Apr-88,Spain,https://cdn.soccerwiki.org/images/player/14228.jpg,63,174,93,28,0,0,0,3,0,9,7,10,0,0,0,1,2,5,6,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,0,0,1
14,Manchester United,https://en.soccerwiki.org/squad.php?clubid=49,"ROONEY, Wayne",https://en.soccerwiki.org/player.php?pid=1139,Wayne Mark Rooney,General Forward,24-Oct-85,England,https://cdn.soccerwiki.org/images/player/1139.jpg,79,176,93,30,0,8,0,0,0,9,0,0,0,0,0,0,2,0,7,0,0,0,5,0,0,0,0,10,6,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0
15,Manchester City,https://en.soccerwiki.org/squad.php?clubid=47,"GÜNDO?AN, Ilkay",https://en.soccerwiki.org/player.php?pid=38147,Ilkay Gündo?an,Playmaker,24-Oct-90,Germany,https://cdn.soccerwiki.org/images/player/38147.jpg,80,180,92,25,0,0,0,3,0,9,0,10,0,0,0,2,0,0,0,0,0,1,0,0,8,0,5,4,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,1,1
16,Manchester City,https://en.soccerwiki.org/squad.php?clubid=47,"TOURÉ, Yayá",https://en.soccerwiki.org/player.php?pid=4425,Gnégnéri Yaya Touré,Box-To-Box Midfielder,13-May-83,Ivory Coast,https://cdn.soccerwiki.org/images/player/4425.jpg,90,191,92,33,4,0,0,0,0,6,0,0,0,0,0,0,3,0,8,0,0,0,1,0,10,0,0,5,0,0,0,0,2,7,9,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,1,0
17,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"WILLIAN, Borges",https://en.soccerwiki.org/player.php?pid=25270,Willian Borges Da Silva,Winger,09-Aug-88,Brazil,https://cdn.soccerwiki.org/images/player/25270.jpg,75,175,92,27,0,0,0,0,0,10,0,2,3,0,0,4,0,7,0,0,0,0,1,0,9,0,8,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,0,1,1
18,Manchester United,https://en.soccerwiki.org/squad.php?clubid=49,"SCHWEINSTEIGER, Bastian",https://en.soccerwiki.org/player.php?pid=4562,Bastian Schweinsteiger,General Midfielder,01-Aug-84,Germany,https://cdn.soccerwiki.org/images/player/4562.jpg,79,183,92,32,0,0,0,3,10,9,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,4,5,0,0,0,6,0,0,0,8,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0
19,Arsenal,https://en.soccerwiki.org/squad.php?clubid=1,"?ECH, Petr",https://en.soccerwiki.org/player.php?pid=452,Petr ?ech,Keeper,20-May-82,Czech Republic,https://cdn.soccerwiki.org/images/player/452.jpg,91,196,92,34,5,0,0,0,8,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,4,0,0,7,0,9,3,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"OSCAR, Emboaba",https://en.soccerwiki.org/player.php?pid=38535,Oscar Dos Santos Emboaba Júnior,Advanced Playmaker,09-Sep-91,Brazil,https://cdn.soccerwiki.org/images/player/38535.jpg,67,179,92,24,0,0,0,0,0,5,0,3,0,0,0,2,1,6,0,0,0,0,0,0,8,0,7,9,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,1,0
21,Manchester United,https://en.soccerwiki.org/squad.php?clubid=49,"MKHITARYAN, Henrik",https://en.soccerwiki.org/player.php?pid=39795,Henrik Mkhitaryan,Advanced Playmaker,21-Jan-89,Armenia,https://cdn.soccerwiki.org/images/player/39795.jpg,75,177,92,27,0,0,0,0,0,10,0,3,0,0,0,4,2,7,0,0,0,0,1,0,9,0,8,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,1,1
22,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"PEDRO, Rodríguez",https://en.soccerwiki.org/player.php?pid=31960,Pedro Eliezer Rodríguez Ledesma,Wide Forward,28-Jul-87,Spain,https://cdn.soccerwiki.org/images/player/31960.jpg,62,167,92,29,0,0,0,6,0,7,3,0,1,0,0,5,4,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,1,1
23,Manchester City,https://en.soccerwiki.org/squad.php?clubid=47,"FERNANDINHO, Luis",https://en.soccerwiki.org/player.php?pid=4165,Fernando Luis Rosa,Box-To-Box Midfielder,04-May-85,Brazil,https://cdn.soccerwiki.org/images/player/4165.jpg,67,176,92,31,0,0,0,0,9,8,0,5,0,0,0,4,0,0,7,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,1,1
24,Arsenal,https://en.soccerwiki.org/squad.php?clubid=1,"KOSCIELNY, Laurent",https://en.soccerwiki.org/player.php?pid=7218,Laurent Koscielny,Stopper,10-Sep-85,France,https://cdn.soccerwiki.org/images/player/7218.jpg,75,186,92,30,3,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,6,0,0,2,9,4,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
